,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall
marital_Divorced,0.013892287017807748,-0.01851351908770886,0.055851955753799185,0.0014831209236874352,0.021679241796480876,0.01056665782235266,-0.02168844991868318,-0.015212517424340556,-0.000812534440983807,0.01663326177314756,0.024215310451552303,0.029732708019997257,0.005604584519455949,0.003925981347202804,0.024902343719056554,0.01699935018532458,0.005052139476428345,-0.021635408200979596,-0.01699614530447782,0.023959967624838336,-0.016998763483670045,,,0.05496716819067498,0.06934737468569593,0.009720463501604628,1.0,-0.27131988783970773,-0.17929479767292142,-0.2010158007068213,-0.06447618510685545,0.006990410825965378,-0.044470684872892685,0.005652530586688413,-0.00386966015167412,0.008471909713106277,0.003726363996162968,0.0023212332017300843,-0.001839778466755307
marital_Married,-0.010426969915644742,0.01973056613563043,0.007499335803851855,-0.021105586971573068,-0.012597170182627838,-0.013723228272219319,-0.027768868968930202,-0.03172834691879401,-0.0056058312606058645,-0.016411446342890258,0.01585527959229939,-0.0003336935335014416,-0.018343534060525125,0.011105076916030495,0.012436976725242846,-0.00046313074835872635,-0.005384258475865772,0.013041571732760314,0.026561533938264104,-0.03712052975288404,0.00249396697725757,,,-0.08052638123886151,-0.045480436591853336,-0.01582532114922517,-0.27131988783970773,1.0,-0.417723185564559,-0.4683290408305344,-0.150217394957654,0.010792837728648414,-0.005507022270918439,-0.0038482521206687683,-0.007467353008385742,0.005983915588498465,-0.02225093332149231,-0.021605357405130164,0.0059954332451955155
marital_Single,-0.015539170052546531,0.014525125270150978,-0.10045427679741667,-0.0009263337564185683,-0.022597803247839627,0.01198191600510778,0.04557483623512608,0.013808745033327397,-0.0027112644505369477,-0.0010063296794660017,-0.045480205521841635,-0.043073343304505164,-0.0011150971476413748,-0.02339802573023855,-0.011288822272403427,0.015739294204497722,-0.01459847932845543,-0.011975435106729158,0.0012637662571117457,-0.014164917756828417,0.019442611090129906,,,0.11370323621748635,-0.12843576144494465,0.002079477767874569,-0.17929479767292142,-0.417723185564559,1.0,-0.30948324978547714,-0.09926731744706307,-0.03017728359373799,0.04502620269521944,0.015924694541150565,-0.005170847621003069,-0.01063220442353438,0.005940081222810055,0.0062709993172995445,-0.006112983714792287
marital_Together,-0.0019597333885504895,0.007422499139788107,0.027180977242545677,0.023908193730397275,0.005914940386924844,-0.014209712701219152,-0.004063846070049555,0.015501820644428113,-0.011220146589009317,-0.010374800584273574,0.006691594751693328,0.005234377186853238,-0.0009487030157695096,-0.006013908959242236,-0.0074756401645809534,-0.019771199730313622,-0.0009715325430974332,0.006086830737682425,-0.019344479476158714,0.03824389676775564,-0.0016619026525073177,,,-0.07466397102106369,0.0548203605414632,0.003425653302678685,-0.2010158007068213,-0.4683290408305344,-0.30948324978547714,1.0,-0.1112932419659008,0.018122542975858923,0.0006024896595811753,-0.007684426962420813,0.020209998047442355,-0.02171742862070685,0.0016221896876985628,0.0026560243804586918,-0.0061184979429855495
marital_Widow,0.044336452718402496,-0.07224353729318207,0.04796233707800604,-0.0013484302537416332,0.03413863162436333,0.0259605260772761,0.017369524932034874,0.04188602878016046,0.049347049335078955,0.04309587121919408,0.003696819732050182,0.03574273773515024,0.044383324519661274,0.030994338652257175,-0.0315355447921043,-0.015374767172508505,0.041190718868437406,0.013863287488766125,0.0010702063117656166,-0.0007299218738692249,-0.01807624598244269,,,0.04528450434565193,0.1637206878944665,0.013066187909631282,-0.06447618510685545,-0.150217394957654,-0.09926731744706307,-0.1112932419659008,1.0,-0.015865330527895013,-0.013852024556131763,-0.01671631213531741,-0.010352727629728227,0.04588424768900183,0.03587766376950955,0.033282920152671626,0.01553734126510706
education_2n Cycle,-0.060620748612813295,0.019050319844562635,-0.05625915879084459,-0.006789197118134224,-0.09625908093698843,0.02545164446936955,-0.041737588552996314,0.06130383189434839,0.06055000379344009,0.019189066018894908,-0.007602168625528037,-0.03589915192003402,-0.030490293003520356,-0.02205911790076671,0.01727789719208276,0.0022024424223614503,-0.03462186612404149,-0.027177248327397745,0.00807167874190489,-0.009501559481015012,0.020147331187914893,,,-0.035007938879618845,-0.10436428036608508,0.011465725964621979,0.006990410825965378,0.010792837728648414,-0.03017728359373799,0.018122542975858923,-0.015865330527895013,1.0,-0.049766326398323,-0.3170992186260625,-0.13966343088992275,-0.16480291479886888,-0.06027162963841061,-0.06446800247699391,-0.021605391507193972
education_Basic,-0.23960442622403122,0.05530775900220158,-0.12051909375156067,-0.003092828267173563,-0.14036859264832202,-0.06091546167169716,-0.11196835597469569,-0.05983961692662498,-0.057863068953953364,-0.06501355184498721,-0.04386706056828893,-0.12804933030560398,-0.1225344530228772,-0.14527768868316,0.10068841070779973,0.022520024363443785,-0.04491352032019876,-0.04446816075608944,-0.04156915849166267,-0.018608341663206403,-0.01515883940132163,,,-0.05043728803337637,-0.11587227688544902,0.05827529131834975,-0.044470684872892685,-0.005507022270918439,0.04502620269521944,0.0006024896595811753,-0.013852024556131763,-0.049766326398323,1.0,-0.15996056804090528,-0.0704531592240812,-0.08313476135402009,-0.13863084184922272,-0.13808692595719246,-0.04383538514171133
education_Graduation,0.017643915399652474,-0.001930414611151363,-0.024697766370866264,0.03141853372393471,-0.060919622396011286,0.11491936359849719,0.06491663401068605,0.10622704377101905,0.10407535856601417,0.13175936354162,-0.0020890502662628788,0.008598355117265399,0.02681772926024312,0.009614145860773983,-0.01843399721604195,-0.014824670977721824,-0.013070959643116074,0.016503018950348575,0.030759412754055426,0.006711392601473894,0.037359713028153864,,,-0.04074881690316225,-0.061579331616136636,0.02969313557976017,0.005652530586688413,-0.0038482521206687683,0.015924694541150565,-0.007684426962420813,-0.01671631213531741,-0.3170992186260625,-0.15996056804090528,1.0,-0.44891080689545515,-0.5297149653970104,0.014332081082075798,0.0025957413723936697,0.007809721814160063
education_Master,0.021632987311479054,0.011482237744734933,0.023805900914289174,-0.025563045929562333,0.03640327298663144,-0.05558109585304429,-0.0040202711654663105,-0.05015285933658053,-0.0677233282865347,-0.032492385574403954,0.02663467557885687,-0.00921613584690124,-0.014803832160830572,0.010634783936353606,-0.02209993357609087,-0.013576701090603523,0.018282969180951316,0.001982525176211661,-0.027079303223772912,-0.03113243890390495,-0.016771178920851188,,,0.0035090570192036277,0.0747540707712242,-0.03325719851694892,-0.00386966015167412,-0.007467353008385742,-0.005170847621003069,0.020209998047442355,-0.010352727629728227,-0.13966343088992275,-0.0704531592240812,-0.44891080689545515,1.0,-0.23330807871944195,0.0063617350000592324,0.009650659006616552,-0.012484312295089062
education_PhD,0.09117590737638182,-0.04203061437513793,0.09290146233329488,-0.009234260230339937,0.1608038956749695,-0.08430053270680392,-0.004194438949615605,-0.10395244669191231,-0.08570161844449904,-0.11970789480845238,0.00026722877022129044,0.07091794383513353,0.04798902962734915,0.04862624027033556,-0.0074889258919662565,0.02027564119718541,0.040317332266244114,0.013746577316497704,-0.0029367738283327368,0.033529709273221416,-0.03857204271037604,,,0.08962697143202698,0.12342897224568393,-0.035934183667213564,0.008471909713106277,0.005983915588498465,-0.01063220442353438,-0.02171742862070685,0.04588424768900183,-0.16480291479886888,-0.08313476135402009,-0.5297149653970104,-0.23330807871944195,1.0,0.07080442966217786,0.08481060005200994,0.033255666132899535
